date,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_hospitalized_patients,cumulative_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,population,new_confirmed_0_30,new_confirmed_30_60,new_confirmed_60_80,new_confirmed_80_plus,cumulative_confirmed_0_30,cumulative_confirmed_30_60,cumulative_confirmed_60_80,cumulative_confirmed_80_plus,new_deceased_0_30,new_deceased_30_60,new_deceased_60_80,new_deceased_80_plus,cumulative_deceased_0_30,cumulative_deceased_30_60,cumulative_deceased_60_80,cumulative_deceased_80_plus,new_hospitalized_patients_0_30,new_hospitalized_patients_30_60,new_hospitalized_patients_60_80,new_hospitalized_patients_80_plus,cumulative_hospitalized_patients_0_30,cumulative_hospitalized_patients_30_60,cumulative_hospitalized_patients_60_80,cumulative_hospitalized_patients_80_plus,new_intensive_care_patients_0_30,new_intensive_care_patients_30_60,new_intensive_care_patients_60_80,new_intensive_care_patients_80_plus,cumulative_intensive_care_patients_0_30,cumulative_intensive_care_patients_30_60,cumulative_intensive_care_patients_60_80,cumulative_intensive_care_patients_80_plus,population_0_30,population_30_60,population_60_80,population_80_plus
2020-01-01,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,46937060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14075720,20948387,9032069,2880884
2020-01-02,0.0,0.0,0.0,0.0,73.0,81.0,1.0,1.0,46937060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,35.0,29.0,1.0,10.0,38.0,32.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14075720,20948387,9032069,2880884
2020-01-03,0.0,0.0,0.0,0.0,8.0,89.0,1.0,2.0,46937060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,10.0,41.0,36.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,14075720,20948387,9032069,2880884
2020-01-04,0.0,0.0,0.0,0.0,6.0,95.0,0.0,2.0,46937060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,13.0,42.0,38.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,14075720,20948387,9032069,2880884
2020-01-05,0.0,0.0,0.0,0.0,7.0,102.0,0.0,2.0,46937060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,14.0,45.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,14075720,20948387,9032069,2880884
2020-01-06,0.0,0.0,0.0,0.0,5.0,107.0,0.0,2.0,46937060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,16.0,47.0,41.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,14075720,20948387,9032069,2880884
2020-01-07,0.0,0.0,0.0,0.0,7.0,114.0,1.0,3.0,46937060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,16.0,52.0,43.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,14075720,20948387,9032069,2880884
2020-01-08,0.0,0.0,0.0,0.0,5.0,119.0,0.0,3.0,46937060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,16.0,55.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,14075720,20948387,9032069,2880884
2020-01-09,1.0,0.0,1.0,0.0,8.0,127.0,0.0,3.0,46937060,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,18.0,57.0,49.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,14075720,20948387,9032069,2880884
2020-01-10,1.0,0.0,2.0,0.0,9.0,136.0,0.0,3.0,46937060,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,18.0,61.0,53.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,14075720,20948387,9032069,2880884
2020-01-11,0.0,0.0,2.0,0.0,3.0,139.0,1.0,4.0,46937060,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,18.0,63.0,54.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,14075720,20948387,9032069,2880884
2020-01-12,0.0,0.0,2.0,0.0,6.0,145.0,0.0,4.0,46937060,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,20.0,65.0,56.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,14075720,20948387,9032069,2880884
2020-01-13,0.0,0.0,2.0,0.0,8.0,153.0,0.0,4.0,46937060,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,2.0,24.0,68.0,57.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,14075720,20948387,9032069,2880884
2020-01-14,0.0,0.0,2.0,0.0,9.0,162.0,1.0,5.0,46937060,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,2.0,26.0,74.0,58.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,14075720,20948387,9032069,2880884
2020-01-15,0.0,0.0,2.0,0.0,10.0,172.0,1.0,6.0,46937060,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.0,27.0,79.0,62.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,14075720,20948387,9032069,2880884
2020-01-16,0.0,0.0,2.0,0.0,6.0,178.0,0.0,6.0,46937060,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,27.0,82.0,64.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,14075720,20948387,9032069,2880884
2020-01-17,0.0,0.0,2.0,0.0,4.0,182.0,0.0,6.0,46937060,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,27.0,84.0,65.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,14075720,20948387,9032069,2880884
2020-01-18,1.0,0.0,3.0,0.0,5.0,187.0,0.0,6.0,46937060,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,28.0,87.0,66.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,14075720,20948387,9032069,2880884
2020-01-19,0.0,0.0,3.0,0.0,5.0,192.0,1.0,7.0,46937060,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,29.0,90.0,67.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,14075720,20948387,9032069,2880884
2020-01-20,0.0,0.0,3.0,0.0,11.0,203.0,0.0,7.0,46937060,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,29.0,94.0,72.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,14075720,20948387,9032069,2880884
2020-01-21,1.0,0.0,4.0,0.0,12.0,215.0,1.0,8.0,46937060,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,3.0,32.0,98.0,75.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,0.0,14075720,20948387,9032069,2880884
2020-01-22,0.0,0.0,4.0,0.0,6.0,221.0,0.0,8.0,46937060,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,32.0,101.0,78.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,14075720,20948387,9032069,2880884
2020-01-23,0.0,0.0,4.0,0.0,8.0,229.0,0.0,8.0,46937060,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,3.0,36.0,104.0,79.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,14075720,20948387,9032069,2880884
2020-01-24,0.0,0.0,4.0,0.0,15.0,244.0,1.0,9.0,46937060,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,7.0,3.0,38.0,110.0,86.0,0.0,0.0,1.0,0.0,1.0,2.0,6.0,0.0,14075720,20948387,9032069,2880884
2020-01-25,0.0,0.0,4.0,0.0,1.0,245.0,0.0,9.0,46937060,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,38.0,111.0,86.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,14075720,20948387,9032069,2880884
2020-01-26,0.0,0.0,4.0,0.0,3.0,248.0,0.0,9.0,46937060,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,40.0,112.0,86.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,14075720,20948387,9032069,2880884
2020-01-27,0.0,0.0,4.0,0.0,8.0,256.0,0.0,9.0,46937060,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,40.0,118.0,87.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,14075720,20948387,9032069,2880884
2020-01-28,0.0,0.0,4.0,0.0,10.0,266.0,0.0,9.0,46937060,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,3.0,43.0,122.0,90.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,14075720,20948387,9032069,2880884
2020-01-29,0.0,0.0,4.0,0.0,16.0,282.0,0.0,9.0,46937060,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,9.0,3.0,47.0,125.0,99.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,14075720,20948387,9032069,2880884
2020-01-30,0.0,0.0,4.0,0.0,14.0,296.0,0.0,9.0,46937060,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,5.0,4.0,51.0,129.0,104.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,14075720,20948387,9032069,2880884
2020-01-31,1.0,0.0,5.0,0.0,14.0,310.0,0.0,9.0,46937060,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,5.0,5.0,53.0,135.0,109.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,14075720,20948387,9032069,2880884
2020-02-01,0.0,0.0,5.0,0.0,9.0,319.0,1.0,10.0,46937060,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,5.0,55.0,137.0,113.0,0.0,0.0,1.0,0.0,1.0,2.0,7.0,0.0,14075720,20948387,9032069,2880884
2020-02-02,0.0,0.0,5.0,0.0,15.0,334.0,0.0,10.0,46937060,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,4.0,6.0,59.0,143.0,117.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,14075720,20948387,9032069,2880884
2020-02-03,0.0,0.0,5.0,0.0,18.0,352.0,0.0,10.0,46937060,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,6.0,7.0,59.0,153.0,123.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,14075720,20948387,9032069,2880884
2020-02-04,0.0,0.0,5.0,0.0,13.0,365.0,0.0,10.0,46937060,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,4.0,7.0,61.0,160.0,127.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,14075720,20948387,9032069,2880884
2020-02-05,0.0,0.0,5.0,0.0,8.0,373.0,1.0,11.0,46937060,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,7.0,63.0,165.0,128.0,0.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,14075720,20948387,9032069,2880884
2020-02-06,0.0,0.0,5.0,0.0,18.0,391.0,1.0,12.0,46937060,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,10.0,7.0,64.0,171.0,138.0,0.0,0.0,1.0,0.0,1.0,2.0,9.0,0.0,14075720,20948387,9032069,2880884
2020-02-07,0.0,0.0,5.0,0.0,19.0,410.0,3.0,15.0,46937060,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,8.0,7.0,67.0,179.0,146.0,0.0,0.0,3.0,0.0,1.0,2.0,12.0,0.0,14075720,20948387,9032069,2880884
2020-02-08,0.0,0.0,5.0,0.0,6.0,416.0,0.0,15.0,46937060,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,7.0,68.0,184.0,146.0,0.0,0.0,0.0,0.0,1.0,2.0,12.0,0.0,14075720,20948387,9032069,2880884
2020-02-09,1.0,0.0,6.0,0.0,7.0,423.0,0.0,15.0,46937060,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,7.0,69.0,187.0,149.0,0.0,0.0,0.0,0.0,1.0,2.0,12.0,0.0,14075720,20948387,9032069,2880884
2020-02-10,0.0,0.0,6.0,0.0,17.0,440.0,2.0,17.0,46937060,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,5.0,7.0,70.0,196.0,154.0,0.0,0.0,1.0,0.0,1.0,2.0,13.0,0.0,14075720,20948387,9032069,2880884
